소단원명	질문	정답
03. 삼각형의 외심	외심과 두 꼭짓점을 연결한 각 BOC는 각 A와 어떤 관계인가?	각 A의 크기의 2배입니다.
03. 삼각형의 외심	직각삼각형에서 외접원의 반지름의 길이는 무엇과 같은가?	빗변의 길이의 절반과 같습니다.
03. 삼각형의 외심	외심 O에서 각 변에 내린 수선은 각 변을 어떻게 하는가?	각 변을 이등분합니다.
03. 삼각형의 외심	삼각형 ABC의 각 A, B, C를 외심과 연결했을 때 생기는 세 각의 합은?	90도입니다.
03. 삼각형의 외심	외접원이란 무엇인가?	삼각형의 세 꼭짓점을 모두 지나는 원입니다.
03. 삼각형의 외심	이등변삼각형의 외심은 어디 위에 있는가?	꼭지각의 이등분선 위에 있습니다.
03. 삼각형의 외심	정삼각형의 외심은 내심과 어떤 관계인가?	두 점이 일치합니다.
03. 삼각형의 외심	외심을 이용하여 삼각형의 세 꼭짓점으로부터 같은 거리에 있는 지점을 찾을 수 있는가?	네, 가능합니다.
03. 삼각형의 외심	직각삼각형의 외심이 빗변의 중점임을 이용해 알 수 있는 성질은?	중점에서 세 꼭짓점에 이르는 거리가 같다는 것입니다.
03. 삼각형의 외심	외심 작도 시 최소 몇 변의 수직이등분선이 필요한가?	두 변만 있어도 됩니다.
03. 삼각형의 외심	삼각형 외부에 외심이 있다면 그 삼각형은?	둔각삼각형입니다.
03. 삼각형의 외심	외심 문제에서 주로 만들어지는 합동인 삼각형은?	수직이등분선에 의해 나뉜 두 직각삼각형입니다.
03. 삼각형의 외심	외심 O가 삼각형 변 위에 있는 삼각형은?	직각삼각형입니다.
04. 삼각형의 내심	삼각형의 내심이란 무엇인가?	삼각형의 세 변에 접하는 원(내접원)의 중심입니다.
04. 삼각형의 내심	내심은 어떻게 찾는가?	삼각형의 세 내각의 이등분선의 교점입니다.
04. 삼각형의 내심	내심에서 세 변에 이르는 거리는 어떠한가?	내접원의 반지름으로 모두 같습니다.
04. 삼각형의 내심	삼각형의 세 내각의 이등분선은 한 점에서 만나는가?	네, 그 점이 내심입니다.
04. 삼각형의 내심	내심은 삼각형의 종류에 상관없이 항상 어디에 있는가?	항상 내부에 위치합니다.
04. 삼각형의 내심	내심 I에서 각 BIC는 각 A와 어떤 관계인가?	90도 더하기 각 A의 절반입니다.
04. 삼각형의 내심	삼각형의 둘레와 내접원 반지름 r을 알 때 넓이 구하는 공식은?	2분의 1 곱하기 r 곱하기 삼각형의 둘레입니다.
04. 삼각형의 내심	내심에서 각 꼭짓점까지의 거리는 항상 같은가?	아니요, 내심에서 '변'까지의 거리가 같습니다.
04. 삼각형의 내심	내접원이란 무엇인가?	삼각형의 세 변에 모두 접하는 원입니다.
04. 삼각형의 내심	내심 작도 시 최소 몇 개의 내각의 이등분선이 필요한가?	두 개만 있어도 됩니다.
04. 삼각형의 내심	이등변삼각형의 내심은 어디 위에 있는가?	꼭지각의 이등분선 위에 있습니다.
04. 삼각형의 내심	정삼각형에서 내심과 외심은 어떠한가?	서로 일치합니다.
04. 삼각형의 내심	각 꼭짓점에서 내접원의 접점까지의 거리 관계는?	한 꼭짓점에서 그은 두 접선의 길이는 같습니다.
04. 삼각형의 내심	삼각형의 세 변에서 같은 거리에 있는 점을 무엇이라 하는가?	내심입니다.
04. 삼각형의 내심	내심을 기준으로 나누어진 세 삼각형의 높이는 무엇과 같은가?	내접원의 반지름과 같습니다.
04. 삼각형의 내심	내심 위치가 삼각형 변 위에 있을 수 있는가?	아니요, 항상 내부에 존재합니다.
04. 삼각형의 내심	내심 I에 대하여 각 IAB와 각 IAC의 크기는 어떠한가?	각의 이등분선이므로 크기가 같습니다.
04. 삼각형의 내심	삼각형 세 변의 길이가 6, 8, 10인 직각삼각형의 내접원 반지름은?	2입니다.
04. 삼각형의 내심	내심에서 변에 내린 수선의 발까지의 선분 길이는?	내접원의 반지름입니다.
04. 삼각형의 내심	직각삼각형의 내심 문제에서 자주 활용되는 도형은?	반지름을 변으로 하는 정사각형입니다.
05. 평행사변형	평행사변형의 정의는 무엇인가?	두 쌍의 대변이 각각 평행한 사각형입니다.
05. 평행사변형	평행사변형의 성질 중 변에 관한 것은?	두 쌍의 대변의 길이가 각각 같습니다.
05. 평행사변형	평행사변형의 성질 중 각에 관한 것은?	두 쌍의 대각의 크기가 각각 같습니다.
05. 평행사변형	평행사변형의 대각선의 성질은?	두 대각선은 서로 다른 것을 이등분합니다.
05. 평행사변형	평행사변형에서 이웃하는 두 내각의 합은 항상 몇 도인가?	180도입니다.
05. 평행사변형	한 쌍의 대변이 평행하고 그 길이가 같으면 평행사변형인가?	네, 평행사변형이 되는 조건 중 하나입니다.
05. 평행사변형	평행사변형이 되는 조건 5가지를 모두 말하면?	정의, 대변 길이, 대각 크기, 대각선 이등분, 한 쌍 평행 및 길이 일치입니다.
05. 평행사변형	평행사변형의 넓이를 한 대각선은 어떻게 하는가?	이등분합니다.
05. 평행사변형	평행사변형의 두 대각선은 넓이를 몇 등분 하는가?	4등분 하며 각 넓이는 같습니다.
05. 평행사변형	평행사변형 내부의 한 점 P에 대해 마주 보는 두 삼각형 넓이 합은?	전체 넓이의 2분의 1입니다.
05. 평행사변형	두 쌍의 대각의 크기가 각각 같으면 항상 평행사변형인가?	네, 그렇습니다.
05. 평행사변형	평행사변형에서 대각선의 길이는 항상 같은가?	아니요, 직사각형이나 정사각형일 때만 같습니다.
05. 평행사변형	평행사변형의 대각선은 각을 이등분하는가?	아니요, 마름모나 정사각형일 때만 이등분합니다.
05. 평행사변형	직사각형은 평행사변형이라고 할 수 있는가?	네, 대변이 평행하다는 정의를 만족합니다.
05. 평행사변형	평행사변형의 한 내각이 직각이 되면 어떤 사각형이 되는가?	직사각형이 됩니다.
05. 평행사변형	평행사변형의 이웃하는 두 변의 길이가 같아지면 무엇이 되는가?	마름모가 됩니다.
05. 평행사변형	사다리꼴은 평행사변형인가?	아니요, 한 쌍만 평행할 수도 있으므로 아닙니다.
05. 평행사변형	평행사변형의 대각선 교점에서 각 꼭짓점까지의 거리는?	두 대각선이 각각 서로를 이등분합니다.
05. 평행사변형	평행사변형 성질 증명 시 주로 사용하는 삼각형 합동은?	ASA 합동입니다.
05. 평행사변형	두 쌍의 대변의 길이가 각각 같은 사각형은 평행사변형인가?	네, 그렇습니다.
06. 여러 가지 사각형	직사각형의 정의는 무엇인가?	네 내각의 크기가 모두 같은 사각형입니다.
06. 여러 가지 사각형	직사각형의 대각선의 성질은?	두 대각선의 길이는 같고 서로를 이등분합니다.
06. 여러 가지 사각형	마름모의 정의는 무엇인가?	네 변의 길이가 모두 같은 사각형입니다.
06. 여러 가지 사각형	마름모의 대각선의 성질은?	두 대각선은 서로 수직이등분합니다.
06. 여러 가지 사각형	정사각형의 정의는 무엇인가?	네 변의 길이가 모두 같고 네 내각의 크기가 모두 같은 사각형입니다.
06. 여러 가지 사각형	평행사변형이 직사각형이 되기 위한 조건은?	한 내각이 직각이거나 두 대각선의 길이가 같아야 합니다.
06. 여러 가지 사각형	평행사변형이 마름모가 되기 위한 조건은?	이웃하는 두 변의 길이가 같거나 두 대각선이 수직이어야 합니다.
06. 여러 가지 사각형	정사각형은 직사각형이라고 할 수 있는가?	네, 네 각이 모두 같다는 조건을 만족합니다.
06. 여러 가지 사각형	정사각형은 마름모라고 할 수 있는가?	네, 네 변의 길이가 같다는 조건을 만족합니다.
06. 여러 가지 사각형	등변사다리꼴의 정의는 무엇인가?	밑변의 양 끝각의 크기가 같은 사다리꼴입니다.
06. 여러 가지 사각형	등변사다리꼴의 대각선의 성질은?	두 대각선의 길이가 같습니다.
06. 여러 가지 사각형	평행사변형의 각 변의 중점을 연결하여 만든 사각형은?	평행사변형입니다.
06. 여러 가지 사각형	직사각형의 각 변의 중점을 연결하여 만든 사각형은?	마름모입니다.
06. 여러 가지 사각형	마름모의 각 변의 중점을 연결하여 만든 사각형은?	직사각형입니다.
06. 여러 가지 사각형	정사각형의 각 변의 중점을 연결하여 만든 사각형은?	정사각형입니다.
06. 여러 가지 사각형	두 대각선이 서로를 수직으로 만나는 사각형은?	마름모와 정사각형입니다.
06. 여러 가지 사각형	대각선의 길이가 같은 사각형 3가지는?	직사각형, 정사각형, 등변사다리꼴입니다.
06. 여러 가지 사각형	마름모가 정사각형이 되기 위한 조건은?	한 내각이 직각이거나 두 대각선의 길이가 같아야 합니다.
06. 여러 가지 사각형	사다리꼴 중 평행하지 않은 한 쌍의 대변 길이가 같은 사각형은?	등변사다리꼴입니다.
06. 여러 가지 사각형	직사각형이 정사각형이 되기 위한 조건은?	이웃하는 두 변의 길이가 같거나 두 대각선이 수직이어야 합니다.
07. 도형의 닮음	도형의 닮음의 정의는 무엇인가?	한 도형을 일정한 비율로 확대하거나 축소한 것이 다른 도형과 합동일 때의 관계입니다.
07. 도형의 닮음	닮음비란 무엇인가?	서로 닮은 두 도형에서 대응하는 변의 길이의 비입니다.
07. 도형의 닮음	두 평면도형이 닮음일 때 대응하는 각의 크기는?	서로 같습니다.
07. 도형의 닮음	두 평면도형이 닮음일 때 대응하는 변의 길이의 비는?	일정합니다.
07. 도형의 닮음	항상 닮음인 평면도형의 예는?	두 원, 두 정다각형, 두 직각이등변삼각형 등입니다.
07. 도형의 닮음	두 입체도형이 닮음일 때 대응하는 면은 어떤 관계인가?	서로 닮은 도형입니다.
07. 도형의 닮음	두 입체도형이 닮음일 때 대응하는 모서리의 길이의 비는?	일정합니다.
07. 도형의 닮음	항상 닮음인 입체도형의 예는?	두 구, 두 정다면체 등입니다.
07. 도형의 닮음	닮음 기호는 무엇을 따서 만들었는가?	닮음을 뜻하는 시밀러(Similar)의 에스(S)를 옆으로 눕힌 모양입니다.
07. 도형의 닮음	합동인 두 도형의 닮음비는 얼마인가?	1 대 1 입니다.
07. 도형의 닮음	닮음비가 2 대 3 이라는 말의 의미는?	대응하는 변의 길이의 비가 2 대 3 이라는 뜻입니다.
07. 도형의 닮음	삼각형의 닮음 조건 3가지는?	SSS 닮음, SAS 닮음, AA 닮음입니다.
07. 도형의 닮음	SSS 닮음 조건이란 무엇인가?	세 쌍의 대응변의 길이의 비가 각각 같을 때입니다.
07. 도형의 닮음	SAS 닮음 조건이란 무엇인가?	두 쌍의 대응변의 길이의 비가 같고 그 끼인각의 크기가 같을 때입니다.
07. 도형의 닮음	AA 닮음 조건이란 무엇인가?	두 쌍의 대응각의 크기가 각각 같을 때입니다.
07. 도형의 닮음	직각삼각형에서 닮음을 이용한 공식 중 소(공식)란?	밑변 곱하기 높이는 빗변 곱하기 수선의 길이와 같다는 넓이 공식입니다.
07. 도형의 닮음	직각삼각형 ABC에서 각 A가 직각이고 수선을 AD라 할 때 AB의 제곱은?	BD 곱하기 BC 입니다.
07. 도형의 닮음	직각삼각형 ABC에서 수선 AD의 제곱은?	BD 곱하기 CD 입니다.
07. 도형의 닮음	삼각형의 닮음을 찾을 때 가장 먼저 확인하는 조건은?	보통 공통각과 다른 한 각을 찾는 AA 닮음을 먼저 봅니다.
07. 도형의 닮음	두 정삼각형은 항상 닮음인가?	네, 항상 닮음입니다.
08. 평행선 사이의 선분의 길이의 비	삼각형에서 한 변에 평행한 직선을 그었을 때 선분의 비는?	평행선에 의해 나누어지는 선분들의 길이의 비는 서로 같습니다.
08. 평행선 사이의 선분의 길이의 비	삼각형의 두 변의 중점을 연결한 선분의 성질은?	나머지 한 변과 평행하고 그 길이는 나머지 한 변의 2분의 1입니다.
08. 평행선 사이의 선분의 길이의 비	삼각형의 중점연결정리란 무엇인가?	두 변의 중점을 이은 선분은 밑변에 평행하고 길이는 절반이라는 정리입니다.
08. 평행선 사이의 선분의 길이의 비	사다리꼴에서 평행선 사이의 선분의 길이의 비를 구하는 법은?	대각선을 긋거나 평행사변형을 만들어 삼각형의 닮음을 이용합니다.
08. 평행선 사이의 선분의 길이의 비	세 평행선이 다른 두 직선과 만날 때 생기는 선분의 비는?	두 직선 위에 생기는 선분의 길이의 비는 서로 같습니다.
08. 평행선 사이의 선분의 길이의 비	삼각형의 각의 이등분선 정리(내각)란?	내각의 이등분선은 대변을 인접한 두 변의 길이의 비로 나눈다는 것입니다.
08. 평행선 사이의 선분의 길이의 비	삼각형의 각의 이등분선 정리(외각)란?	외각의 이등분선은 대변의 연장선과의 교점까지의 비를 결정합니다.
08. 평행선 사이의 선분의 길이의 비	평행선 사이의 선분의 비 문제에서 자주 쓰이는 보조선은?	한 직선에 평행한 보조선을 주로 긋습니다.
08. 평행선 사이의 선분의 길이의 비	중점연결정리의 역은 무엇인가?	한 변의 중점을 지나고 밑변에 평행한 직선은 다른 변의 중점을 지난다는 것입니다.
08. 평행선 사이의 선분의 길이의 비	삼각형에서 평행선을 그어 생기는 작은 삼각형은?	원래 삼각형과 닮음입니다.
08. 평행선 사이의 선분의 길이의 비	내각의 이등분선 정리에서 AB대 AC의 비는 무엇과 같은가?	BD대 CD의 비와 같습니다.
08. 평행선 사이의 선분의 길이의 비	외각의 이등분선 정리에서 AB대 AC의 비는?	BD대 CD(외분점까지의 거리)와 같습니다.
08. 평행선 사이의 선분의 길이의 비	모래시계 모양의 닮음 삼각형은 언제 생기는가?	두 평행선 사이를 가로지르는 두 직선이 만날 때 생깁니다.
08. 평행선 사이의 선분의 길이의 비	평행선 비 성질을 이용해 나무의 높이를 재는 원리는?	그림자의 길이 비와 닮음을 이용합니다.
08. 평행선 사이의 선분의 길이의 비	사다리꼴 중간의 평행선 길이를 구하는 공식은?	(an+bm) 나누기 (m+n) 입니다.
08. 평행선 사이의 선분의 길이의 비	삼각형 두 변의 중점을 연결하면 밑변과 어떤 관계인가?	평행합니다.
08. 평행선 사이의 선분의 길이의 비	사다리꼴 두 변의 중점을 연결한 선분 길이는?	윗변과 아랫변의 합의 절반입니다.
08. 평행선 사이의 선분의 길이의 비	삼각형에서 평행선 비를 쓸 때 반드시 평행 조건이 있어야 하는가?	네, 평행해야 비가 일정합니다.
08. 평행선 사이의 선분의 길이의 비	평행선 사이의 선분 비는 직선의 기울기와 상관있는가?	비율 자체는 기울기와 상관없이 일정하게 유지됩니다.
08. 평행선 사이의 선분의 길이의 비	평행선에 의해 잘린 선분들의 비가 같으면?	두 직선은 서로 평행합니다.
09. 삼각형의 무게중심	삼각형의 중선이란 무엇인가?	삼각형의 한 꼭짓점과 그 대변의 중점을 이은 선분입니다.
09. 삼각형의 무게중심	삼각형의 무게중심은 어떻게 찾는가?	세 중선의 교점입니다.
09. 삼각형의 무게중심	삼각형의 세 중선은 항상 한 점에서 만나는가?	네, 그 점이 무게중심입니다.
09. 삼각형의 무게중심	무게중심은 각 중선의 길이를 몇 대 몇으로 나누는가?	꼭짓점으로부터 2 대 1 로 나눕니다.
09. 삼각형의 무게중심	세 중선에 의해 나누어지는 6개의 삼각형의 넓이는?	모두 같습니다.
09. 삼각형의 무게중심	한 중선에 의해 나누어지는 2개의 삼각형의 넓이는?	서로 같습니다.
09. 삼각형의 무게중심	무게중심과 세 꼭짓점을 연결해 만든 3개 삼각형의 넓이는?	전체 넓이의 3분의 1로 모두 같습니다.
09. 삼각형의 무게중심	무게중심 G와 한 변의 중점 D에 대해 GD의 길이는 중선의 몇 분의 몇인가?	3분의 1 입니다.
09. 삼각형의 무게중심	직각삼각형에서 빗변의 중점은 무게중심과 어떤 관계인가?	빗변의 중점은 외심이며, 그 중점까지의 선분이 중선이 됩니다.
09. 삼각형의 무게중심	삼각형의 무게중심은 항상 삼각형 내부에 있는가?	네, 항상 내부에 존재합니다.
09. 삼각형의 무게중심	정삼각형의 무게중심은 외심, 내심과 어떠한가?	모두 일치합니다.
09. 삼각형의 무게중심	이등변삼각형의 무게중심은 어디 위에 있는가?	꼭지각의 이등분선(중선) 위에 있습니다.
09. 삼각형의 무게중심	평행사변형에서 대각선의 교점은 무게중심과 어떤 관련이 있는가?	대각선의 교점은 평행사변형을 나누는 삼각형의 중점 역할을 합니다.
09. 삼각형의 무게중심	삼각형 ABC의 무게중심 G에 대해 삼각형 GAB의 넓이는?	삼각형 ABC 넓이의 3분의 1 입니다.
09. 삼각형의 무게중심	무게중심을 찾는 실질적인 방법은?	손가락 끝에 삼각형을 올려 수평을 이루는 지점을 찾습니다.
09. 삼각형의 무게중심	세 중선의 길이는 항상 같은가?	아니요, 정삼각형일 때만 같습니다.
09. 삼각형의 무게중심	삼각형 ABC와 내부의 세 중점 삼각형의 무게중심은?	서로 일치합니다.
09. 삼각형의 무게중심	삼각형의 무게중심은 영어로 무엇의 약자인가?	중력을 뜻하는 Gravity의 G를 씁니다.
09. 삼각형의 무게중심	무게중심을 지나는 직선은 삼각형의 넓이를 이등분하는가?	네, 중선이므로 넓이를 이등분합니다.
09. 삼각형의 무게중심	두 중선의 교점만으로 무게중심을 찾을 수 있는가?	네, 두 중선만 있어도 교점이 정해집니다.
10. 닮음의 활용	두 평면도형의 닮음비가 m 대 n 일 때 둘레의 비는?	m 대 n 입니다.
10. 닮음의 활용	두 평면도형의 닮음비가 m 대 n 일 때 넓이의 비는?	m의 제곱 대 n의 제곱 입니다.
10. 닮음의 활용	두 입체도형의 닮음비가 m 대 n 일 때 겉넓이의 비는?	m의 제곱 대 n의 제곱 입니다.
10. 닮음의 활용	두 입체도형의 닮음비가 m 대 n 일 때 부피의 비는?	m의 세제곱 대 n의 세제곱 입니다.
10. 닮음의 활용	축척이란 무엇인가?	지도에서의 거리와 실제 거리의 비율입니다.
10. 닮음의 활용	축도란 무엇인가?	어떤 도형을 일정한 비율로 줄여서 그린 그림입니다.
10. 닮음의 활용	실제 거리가 1km이고 지도상 거리가 1cm일 때 축척은?	1 대 100,000 입니다.
10. 닮음의 활용	닮음비가 1 대 2 인 두 원의 넓이 비는?	1 대 4 입니다.
10. 닮음의 활용	반지름 비가 2 대 3 인 두 구의 부피 비는?	8 대 27 입니다.
10. 닮음의 활용	닮음비를 이용해 직접 측정하기 어려운 높이를 재는 법은?	막대기와 그림자의 비를 이용한 삼각형 닮음을 씁니다.
10. 닮음의 활용	겉넓이 비가 4 대 9 인 두 정육면체의 닮음비는?	2 대 3 입니다.
10. 닮음의 활용	부피 비가 1 대 8 인 두 정사면체의 닮음비는?	1 대 2 입니다.
10. 닮음의 활용	지도상 넓이가 1제곱센티미터이고 축척이 100분의 1일 때 실제 넓이는?	10,000제곱센티미터(1제곱미터)입니다.
10. 닮음의 활용	원뿔 모양 그릇에 물을 높이의 절반만큼 채우면 부피는?	전체 부피의 8분의 1 입니다.
10. 닮음의 활용	닮은 두 도형의 대응하는 선분의 길이 비는?	모두 닮음비와 같습니다.
10. 닮음의 활용	피자 지름이 2배가 되면 넓이는 몇 배가 되는가?	4배가 됩니다.
10. 닮음의 활용	닮음비가 1 대 k 일 때 넓이 비는?	1 대 k의 제곱 입니다.
10. 닮음의 활용	정육면체의 모서리를 3배 늘리면 부피는 몇 배가 되는가?	27배가 됩니다.
10. 닮음의 활용	축척이 5,000분의 1인 지도에서 2cm의 실제 거리는?	100m 입니다.
10. 닮음의 활용	닮음의 활용 문제를 풀 때 단위를 맞추는 것이 중요한가?	네, 거리와 넓이 단위를 일치시켜야 계산 실수가 없습니다.
11. 피타고라스 정리	피타고라스 정리의 내용은 무엇인가?	직각삼각형에서 빗변의 길이의 제곱은 나머지 두 변의 길이의 제곱의 합과 같습니다.
11. 피타고라스 정리	직각삼각형의 세 변 a, b, c(빗변) 사이의 식은?	a의 제곱 + b의 제곱 = c의 제곱 입니다.
11. 피타고라스 정리	피타고라스 정리는 어떤 삼각형에서만 성립하는가?	직각삼각형에서만 성립합니다.
11. 피타고라스 정리	세 변의 길이가 3, 4, 5인 삼각형은 직각삼각형인가?	네, 9+16=25 이므로 직각삼각형입니다.
11. 피타고라스 정리	피타고라스 수란 무엇인가?	피타고라스 정리를 만족하는 세 자연수의 쌍입니다.
11. 피타고라스 정리	피타고라스 수의 대표적인 예 3가지는?	(3,4,5), (5,12,13), (8,15,17) 등입니다.
11. 피타고라스 정리	유클리드의 증명 방법의 핵심은?	정사각형의 넓이와 삼각형의 넓이 관계를 이용하여 증명합니다.
11. 피타고라스 정리	직각삼각형의 두 변이 6, 8일 때 빗변의 길이는?	10 입니다.
11. 피타고라스 정리	빗변이 13이고 한 변이 5인 직각삼각형의 다른 변은?	12 입니다.
11. 피타고라스 정리	세 변의 길이 비가 1 대 1 대 루트 2인 삼각형은?	직각이등변삼각형입니다 (3학년 내용 포함 가능).
11. 피타고라스 정리	가장 긴 변의 제곱이 나머지 두 변의 제곱 합보다 크면?	둔각삼각형입니다.
11. 피타고라스 정리	가장 긴 변의 제곱이 나머지 두 변의 제곱 합보다 작으면?	예각삼각형입니다.
11. 피타고라스 정리	피타고라스 정리를 이용해 직사각형의 대각선 길이를 구할 수 있는가?	네, 가로와 세로를 두 변으로 하는 직각삼각형으로 구합니다.
11. 피타고라스 정리	사각뿔의 높이를 구할 때 피타고라스 정리를 쓰는가?	네, 옆면의 모선과 밑면 반지름을 이용해 구합니다.
11. 피타고라스 정리	히파수스가 발견한 무리수는 무엇과 관련 있는가?	한 변이 1인 정사각형의 대각선 길이(루트 2)와 관련 있습니다.
11. 피타고라스 정리	세 변의 길이가 7, 24, 25이면 직각삼각형인가?	네, 49 + 576 = 625 이므로 맞습니다.
11. 피타고라스 정리	직각삼각형의 세 변에 그려진 반원의 넓이 사이의 관계는?	작은 두 반원 넓이의 합은 가장 큰 반원 넓이와 같습니다.
11. 피타고라스 정리	히포크라테스의 초승달 넓이는 무엇과 같은가?	직각삼각형의 넓이와 같습니다.
11. 피타고라스 정리	정사각형 네 개를 붙여 피타고라스 정리를 증명한 사람은?	피타고라스 본인 또는 바스카라 등이 있습니다.
11. 피타고라스 정리	직각삼각형에서 빗변을 한 변으로 하는 정사각형의 넓이는?	나머지 두 변을 한 변으로 하는 두 정사각형 넓이의 합과 같습니다.
12. 경우의 수	사건이란 무엇인가?	실험이나 관찰에 의하여 나타나는 결과입니다.
12. 경우의 수	경우의 수란 무엇인가?	어떤 사건이 일어날 수 있는 모든 가짓수입니다.
