소단원명	질문	정답
01. 제곱근의 뜻과 표현	피타고라스 정리와 제곱근은 어떤 관계가 있는가?	직각삼각형의 변의 길이를 구할 때 제곱근 개념이 필수적으로 쓰입니다.
01. 제곱근의 뜻과 표현	제곱하여 5가 되는 수를 기호로 쓰면?	플러스 마이너스 루트 5입니다.
01. 제곱근의 뜻과 표현	모든 양수는 두 개의 제곱근을 갖는가?	네, 그렇습니다.
01. 제곱근의 뜻과 표현	제곱근의 개수가 1개인 수는?	0입니다.
01. 제곱근의 뜻과 표현	루트 기호를 처음 사용한 수학자는 누구인가?	루돌프 등이 언급되나 보통 개념적으로는 제곱의 역연산으로 이해합니다.
02. 제곱근의 성질	루트 a를 전체 제곱하면 결과는?	a입니다. (단, a는 0 이상)
02. 제곱근의 성질	마이너스 루트 a를 전체 제곱하면 결과는?	a입니다.
02. 제곱근의 성질	루트 안의 a의 제곱은 어떻게 나오는가?	a가 양수이면 a로, a가 음수이면 마이너스를 붙여서 양수로 나옵니다.
02. 제곱근의 성질	루트 a의 제곱과 절댓값 a는 같은 의미인가?	네, 결과가 항상 0 이상이어야 한다는 점에서 같습니다.
02. 제곱근의 성질	a가 양수일 때 루트 마이너스 a의 전체 제곱은?	실수 범위에서 정의되지 않으므로 주의해야 합니다.
02. 제곱근의 성질	루트 2의 제곱 더하기 루트 3의 제곱은?	2 더하기 3이므로 5입니다.
02. 제곱근의 성질	루트 (마이너스 5)의 제곱은 얼마인가?	5입니다.
02. 제곱근의 성질	a가 음수일 때 루트 4a의 전체 제곱은?	4a의 제곱이 루트 안에 있다면 마이너스 2a로 나옵니다.
02. 제곱근의 성질	두 양수 a, b에 대해 a가 b보다 크면 제곱근의 크기는?	루트 a가 루트 b보다 큽니다.
02. 제곱근의 성질	루트 5와 3 중 어느 것이 더 큰가?	3을 루트 9로 바꾸어 비교하면 3이 더 큽니다.
02. 제곱근의 성질	마이너스 루트 2와 마이너스 루트 3 중 큰 것은?	절댓값이 작은 마이너스 루트 2가 더 큽니다.
02. 제곱근의 성질	제곱근의 크기를 비교할 때 근호가 없는 수는 어떻게 하는가?	제곱을 하여 근호 안에 넣어 비교합니다.
02. 제곱근의 성질	루트 x가 2보다 작기 위한 자연수 x는?	루트 4보다 작아야 하므로 1, 2, 3입니다.
02. 제곱근의 성질	근호 안의 수가 어떤 식의 제곱이면 항상 근호를 벗길 수 있는가?	네, 절댓값을 이용하여 벗길 수 있습니다.
02. 제곱근의 성질	루트 12x가 자연수가 되기 위한 가장 작은 자연수 x는?	12는 2의 제곱 곱하기 3이므로 x는 3입니다.
02. 제곱근의 성질	루트 (10 더하기 x)가 자연수가 되기 위한 가장 작은 자연수 x는?	10보다 큰 가장 가까운 제곱수인 16을 만들기 위해 x는 6입니다.
02. 제곱근의 성질	루트 안의 값이 커질수록 제곱근의 값은 어떠한가?	커집니다.
02. 제곱근의 성질	루트 a의 제곱에서 a가 0이면 결과는?	0입니다.
02. 제곱근의 성질	제곱근의 성질을 이용한 계산에서 가장 먼저 할 일은?	근호 안의 제곱 형태를 정리하여 근호를 벗기는 것입니다.
02. 제곱근의 성질	부등식 루트 x가 a보다 크고 b보다 작을 때 풀이법은?	모든 변을 제곱하여 x의 범위를 구합니다.
03. 무리수와 실수	유리수의 정의는 무엇인가?	분자, 분모가 정수이고 분모가 0이 아닌 분수 꼴로 나타낼 수 있는 수입니다.
03. 무리수와 실수	무리수의 정의는 무엇인가?	유리수가 아닌 수로, 순환하지 않는 무한소수로 나타내어지는 수입니다.
03. 무리수와 실수	실수는 어떻게 분류되는가?	유리수와 무리수로 분류됩니다.
03. 무리수와 실수	모든 무한소수는 무리수인가?	아니요, 순환소수는 유리수이고 순환하지 않는 무한소수만 무리수입니다.
03. 무리수와 실수	루트 2는 유리수인가 무리수인가?	제곱수가 아니므로 무리수입니다.
03. 무리수와 실수	루트 4는 무리수인가?	아니요, 2로 풀리므로 유리수입니다.
03. 무리수와 실수	원주율 파이는 유리수인가 무리수인가?	순환하지 않는 무한소수이므로 무리수입니다.
03. 무리수와 실수	무리수와 유리수의 합은 무엇인가?	항상 무리수입니다.
03. 무리수와 실수	실수와 수직선의 관계는 어떠한가?	수직선의 모든 점은 실수와 일대일로 대응하며, 실수로 수직선을 가득 채울 수 있습니다.
03. 무리수와 실수	수직선 위에 무리수 루트 2를 나타내는 방법은?	한 변의 길이가 1인 정사각형의 대각선을 이용하여 원을 그리듯 내립니다.
03. 무리수와 실수	두 유리수 사이에는 무수히 많은 무리수가 있는가?	네, 그렇습니다.
03. 무리수와 실수	두 무리수 사이에는 무수히 많은 유리수가 있는가?	네, 그렇습니다.
03. 무리수와 실수	실수의 사칙연산 결과는 항상 실수인가?	네, 0으로 나누는 경우를 제외하면 항상 실수입니다. (실수의 닫혀있음)
03. 무리수와 실수	정수가 아닌 실수는 모두 무리수인가?	아니요, 정수가 아닌 유리수(분수, 소수)도 있습니다.
03. 무리수와 실수	루트 3 빼기 1은 무리수인가?	네, 무리수입니다.
03. 무리수와 실수	모든 실수는 수직선 위의 한 점에 대응하는가?	네, 오직 한 점에 대응합니다.
03. 무리수와 실수	무리수는 분수 꼴로 나타낼 수 있는가?	아니요, 분수 꼴로 나타낼 수 없는 것이 무리수의 특징입니다.
03. 무리수와 실수	근호를 사용한 모든 수는 무리수인가?	아니요, 루트 25처럼 근호를 벗길 수 있는 수는 유리수입니다.
03. 무리수와 실수	실수의 대소 관계를 비교하는 기본 원리는?	두 수의 차를 구하여 0보다 큰지 작은지 확인합니다.
03. 무리수와 실수	무리수의 정수 부분과 소수 부분은 어떻게 구하는가?	그 무리수가 어떤 두 정수 사이에 있는지 찾은 뒤, 전체에서 정수 부분을 뺍니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	두 양수 a, b에 대해 루트 a 곱하기 루트 b는?	루트 ab입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 2 곱하기 루트 3의 결과는?	루트 6입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	m 루트 a 곱하기 n 루트 b의 계산 방법은?	유리수는 유리수끼리, 근호 안의 수는 근호 안의 수끼리 곱합니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 a 나누기 루트 b의 결과는?	루트 (b분의 a)입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	근호 안의 수에 제곱인 인수가 있으면 어떻게 하는가?	근호 밖으로 꺼내어 a 루트 b 꼴로 나타냅니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 12를 a 루트 b 꼴로 나타내면?	2 루트 3입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	3 루트 2를 루트 a 꼴로 나타내면?	루트 18입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	분모의 유리화란 무엇인가?	분모에 무리수가 있을 때, 분모와 분자에 같은 수를 곱하여 분모를 유리수로 만드는 것입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 2분의 1을 유리화하면?	2분의 루트 2입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 3분의 루트 5를 유리화하면?	3분의 루트 15입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	분모의 유리화를 하는 이유는?	계산을 편리하게 하고 값의 크기를 쉽게 파악하기 위해서입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 0.03을 a 루트 b 꼴로 나타내면?	10분의 루트 3입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	제곱근표란 무엇인가?	1.00부터 99.9까지의 수에 대한 양의 제곱근의 값을 소수점 아래 셋째 자리까지 나타낸 표입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	제곱근표에 없는 루트 200의 값을 구하는 방법은?	루트 (2 곱하기 100)으로 바꾸어 10 루트 2로 계산합니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	나눗셈에서 역수를 이용할 때 주의점은?	근호를 포함한 식 전체가 역수가 되어야 합니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 24 나누기 루트 3 곱하기 루트 2의 결과는?	루트 16이 되어 4가 됩니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 안의 숫자가 분수일 때 곱셈 방법은?	하나의 근호 안에 넣어서 분수끼리 곱한 뒤 약분합니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	유리수와 무리수의 곱이 유리수가 될 수 있는 경우는?	유리수가 0일 때만 가능합니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	루트 500의 근삿값을 루트 5는 2.236을 이용해 구하면?	22.36입니다.
04. 근호를 포함한 식의 곱셈과 나눗셈	식의 변형에서 근호 밖의 음수를 안으로 넣을 수 있는가?	아니요, 마이너스 부호는 남겨두고 숫자만 넣어야 합니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	제곱근의 덧셈과 뺄셈은 언제 가능한가?	근호 안의 수가 같은 것끼리만 가능합니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	근호 안의 수가 같은 항을 무엇에 비유하는가?	문자와 식에서의 동류항과 같은 원리로 계산합니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	2 루트 3 더하기 5 루트 3의 결과는?	7 루트 3입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	루트 2 더하기 루트 3은 루트 5인가?	아니요, 근호 안의 수가 다르면 더 이상 계산할 수 없습니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	분배법칙은 제곱근 계산에서도 성립하는가?	네, 루트 a(루트 b + 루트 c)는 루트 ab + 루트 ac로 계산합니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	루트 8 더하기 루트 2를 계산하는 순서는?	루트 8을 2 루트 2로 고친 뒤 루트 2와 더해 3 루트 2를 만듭니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	근호를 포함한 복잡한 식의 계산 순서는?	괄호 풀기, a 루트 b 꼴로 고치기, 유리화하기, 덧셈/뺄셈 순서입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	(2 더하기 루트 3) 빼기 (1 마이너스 루트 3)의 결과는?	1 더하기 2 루트 3입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	루트 2(3 더하기 루트 2)를 전개하면?	3 루트 2 더하기 2입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	분모가 항이 두 개인 경우 유리화 방법은?	곱셈 공식 (a-b)(a+b)를 이용하여 합차 공식으로 유리화합니다 (심화 내용).
05. 근호를 포함한 식의 덧셈과 뺄셈	정수와 무리수의 혼합 계산에서 주의할 점은?	정수는 정수끼리, 무리수는 무리수끼리만 계산된다는 점입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	루트 27 마이너스 루트 12의 결과는?	3 루트 3 마이너스 2 루트 3이므로 루트 3입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	식의 값이 유리수가 되기 위한 조건 문제는?	무리수 부분이 포함된 항의 계수가 0이 되도록 설정합니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	근삿값 계산 시 유리화를 먼저 하는 것이 좋은가?	네, 유리화를 해야 나눗셈보다 곱셈으로 편하게 계산할 수 있습니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	실수의 대소 비교에서 차를 이용하는 방법은?	(A - B)가 0보다 크면 A가 큰 것이고, 작으면 B가 큰 것입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	루트 2는 대략 얼마인가?	1.414 정도입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	루트 3은 대략 얼마인가?	1.732 정도입니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	3 마이너스 루트 2와 1의 크기를 비교하면?	3 마이너스 1.414는 약 1.58이므로 1보다 큽니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	무리수 부분의 부호가 반대인 두 수의 합은?	유리수가 됩니다.
05. 근호를 포함한 식의 덧셈과 뺄셈	곱셈과 덧셈이 섞여 있을 때 계산 순서는?	곱셈을 먼저 하고 나중에 덧셈과 뺄셈을 합니다.
06. 다항식의 곱셈	다항식과 다항식의 곱셈의 기본 원리는?	분배법칙을 이용하여 각 항을 빠짐없이 곱하여 전개합니다.
06. 다항식의 곱셈	전개란 무엇인가?	다항식의 곱을 괄호를 풀어 하나의 다항식으로 나타내는 것입니다.
06. 다항식의 곱셈	(a 더하기 b)의 전체 제곱 공식은?	a의 제곱 더하기 2ab 더하기 b의 제곱입니다.
06. 다항식의 곱셈	(a 마이너스 b)의 전체 제곱 공식은?	a의 제곱 마이너스 2ab 더하기 b의 제곱입니다.
06. 다항식의 곱셈	합차 공식이란 무엇인가?	(a 더하기 b)와 (a 마이너스 b)의 곱은 a의 제곱 마이너스 b의 제곱이라는 공식입니다.
06. 다항식의 곱셈	(x 더하기 a)(x 더하기 b)의 전개 공식은?	x의 제곱 더하기 (a 더하기 b)x 더하기 ab입니다.
06. 다항식의 곱셈	(ax 더하기 b)(cx 더하기 d)의 전개 공식은?	ac x의 제곱 더하기 (ad 더하기 bc)x 더하기 bd입니다.
06. 다항식의 곱셈	곱셈 공식을 사용하는 목적은?	복잡한 다항식의 전개를 빠르고 정확하게 하기 위해서입니다.
06. 다항식의 곱셈	(x 더하기 3)의 제곱을 전개하면?	x의 제곱 더하기 6x 더하기 9입니다.
06. 다항식의 곱셈	(x 마이너스 5)(x 더하기 5)를 전개하면?	x의 제곱 마이너스 25입니다.
06. 다항식의 곱셈	(x 더하기 2)(x 더하기 4)를 전개하면?	x의 제곱 더하기 6x 더하기 8입니다.
06. 다항식의 곱셈	(2x 더하기 1)(3x 마이너스 2)를 전개하면?	6x의 제곱 마이너스 x 마이너스 2입니다.
06. 다항식의 곱셈	(마이너스 a 마이너스 b)의 제곱은 무엇과 같은가?	(a 더하기 b)의 제곱과 같습니다.
06. 다항식의 곱셈	전개식에서 특정 항의 계수를 찾는 방법은?	필요한 항이 나오는 조합만 선택하여 곱합니다.
06. 다항식의 곱셈	계수가 분수인 다항식의 곱셈은?	분배법칙 후 계수끼리 약분하거나 통분하여 정리합니다.
06. 다항식의 곱셈	항이 세 개인 다항식의 제곱 전개는?	각 항의 제곱의 합에 두 항씩 곱한 것의 2배를 모두 더합니다.
06. 다항식의 곱셈	무리수가 포함된 식의 전개에서 합차 공식의 용도는?	분모의 유리화에 주로 사용됩니다.
06. 다항식의 곱셈	(루트 3 더하기 1)(루트 3 마이너스 1)의 값은?	3 마이너스 1이므로 2입니다.
06. 다항식의 곱셈	치환이란 무엇인가?	공통부분이 있는 식을 하나의 문자로 바꾸어 계산하는 방법입니다.
06. 다항식의 곱셈	수의 계산에서 곱셈 공식을 어떻게 활용하는가?	102의 제곱을 (100 더하기 2)의 제곱으로 바꾸어 쉽게 계산합니다.
07. 다항식의 인수분해	인수분해란 무엇인가?	하나의 다항식을 두 개 이상의 인수의 곱으로 나타내는 것입니다.
07. 다항식의 인수분해	인수란 무엇인가?	다항식을 전개하기 전의 각 단항식이나 다항식을 말합니다.
07. 다항식의 인수분해	인수분해와 전개의 관계는?	서로 역과정입니다.
07. 다항식의 인수분해	인수분해의 가장 첫 단계는?	모든 항에 들어 있는 공통인수로 묶어내는 것입니다.
07. 다항식의 인수분해	완전제곱식으로 인수분해되는 조건은?	이차항의 계수가 1일 때, 일차항 계수의 절반의 제곱이 상수항과 같아야 합니다.
07. 다항식의 인수분해	x의 제곱 더하기 6x 더하기 9를 인수분해하면?	(x 더하기 3)의 전체 제곱입니다.
07. 다항식의 인수분해	a의 제곱 마이너스 b의 제곱을 인수분해하면?	(a 더하기 b)(a 마이너스 b)입니다. (합차 공식)
07. 다항식의 인수분해	x의 제곱 마이너스 16을 인수분해하면?	(x 더하기 4)(x 마이너스 4)입니다.
07. 다항식의 인수분해	x의 제곱 더하기 (a 더하기 b)x 더하기 ab 꼴의 인수분해 방법은?	합해서 일차항 계수, 곱해서 상수항이 되는 두 정수를 찾습니다.
07. 다항식의 인수분해	x의 제곱 더하기 5x 더하기 6을 인수분해하면?	(x 더하기 2)(x 더하기 3)입니다.
07. 다항식의 인수분해	ac x의 제곱 더하기 (ad 더하기 bc)x 더하기 bd 꼴의 인수분해 방법은?	대각선 곱하기 방법을 이용하여 항을 조합합니다.
07. 다항식의 인수분해	2x의 제곱 더하기 5x 더하기 3을 인수분해하면?	(2x 더하기 3)(x 더하기 1)입니다.
07. 다항식의 인수분해	인수분해를 한 결과가 맞는지 확인하는 방법은?	결과를 다시 전개하여 처음 식과 같은지 봅니다.
07. 다항식의 인수분해	완전제곱식이 되기 위한 상수항 k 구하기 문제는?	일차항 계수의 반의 제곱 원리를 이용합니다.
07. 다항식의 인수분해	인수분해 공식 1번은 무엇인가?	완전제곱식 공식입니다.
07. 다항식의 인수분해	공통인수가 괄호 형태일 때의 인수분해는?	괄호 전체를 하나의 덩어리로 보고 묶어냅니다.
07. 다항식의 인수분해	인수분해를 하면 방정식의 무엇을 구하기 쉬운가?	방정식의 해를 구하기 쉬워집니다.
07. 다항식의 인수분해	x의 제곱 마이너스 8x 더하기 16은 무엇인가?	(x 마이너스 4)의 전체 제곱입니다.
07. 다항식의 인수분해	다항식의 약수라는 말은 무엇과 같은가?	인수와 같은 의미입니다.
07. 다항식의 인수분해	인수분해 공식 중 항이 두 개인 제곱의 차 공식 명칭은?	합차 공식입니다.
08. 인수분해 공식의 활용	복잡한 식의 인수분해에서 공통부분이 있으면?	공통부분을 다른 문자로 치환하여 인수분해합니다.
08. 인수분해 공식의 활용	항이 4개인 식의 인수분해 방법 두 가지는?	두 항씩 묶거나, (세 항) 마이너스 (한 항)으로 묶어 합차 공식을 씁니다.
08. 인수분해 공식의 활용	완전제곱식 세 개가 묶이는 항이 4개인 식의 특징은?	(a 플러스 b)의 제곱 마이너스 c의 제곱 꼴로 변형됩니다.
08. 인수분해 공식의 활용	항이 5개 이상인 복잡한 식의 인수분해 방법은?	차수가 가장 낮은 문자에 대하여 내림차순으로 정리합니다.
08. 인수분해 공식의 활용	수의 계산에서 인수분해를 활용하는 예는?	제곱의 차 계산이나 공통인수 묶기를 통해 암산을 돕습니다.
08. 인수분해 공식의 활용	99의 제곱 마이너스 1을 인수분해로 계산하면?	(99 플러스 1)(99 마이너스 1)이 되어 100 곱하기 98 즉 9800입니다.
08. 인수분해 공식의 활용	식의 값을 구할 때 인수분해를 하면 좋은 점은?	대입할 숫자가 복잡할 때 식을 간단히 하여 계산을 줄여줍니다.
08. 인수분해 공식의 활용	x는 루트 2 플러스 1일 때 x의 제곱 마이너스 2x 플러스 1의 값은?	인수분해하면 (x 마이너스 1)의 제곱이므로 루트 2의 제곱인 2입니다.
08. 인수분해 공식의 활용	내림차순 정리 시 차수가 같으면?	어느 한 문자에 대해 정리해도 결과는 같습니다.
08. 인수분해 공식의 활용	공통인수가 보이지 않을 때 먼저 해야 할 일은?	일부 항을 전개하거나 순서를 바꿔서 공통부분을 찾습니다.
08. 인수분해 공식의 활용	이차식의 계수가 큰 경우의 인수분해 팁은?	상수항의 약수들을 조합하여 대각선 곱을 시도합니다.
08. 인수분해 공식의 활용	인수분해 활용 문제에서 삼각형의 종류 묻는 법은?	인수분해 결과가 (a 마이너스 b)는 0이면 이등변삼각형임을 알 수 있습니다.
08. 인수분해 공식의 활용	순환형 식의 인수분해란 무엇인가?	문자가 교대로 나타나는 식을 한 문자로 정리하여 푸는 것입니다.
08. 인수분해 공식의 활용	합차 공식을 연속으로 사용하는 예는?	x의 4제곱 마이너스 1은 (x제곱 플러스 1)(x 플러스 1)(x 마이너스 1)로 됩니다.
08. 인수분해 공식의 활용	인수분해가 안 되는 다항식도 있는가?	유리수 범위에서 안 될 수도 있지만, 실수 범위까지 확장하면 가능할 수 있습니다.
08. 인수분해 공식의 활용	도형의 넓이 문제에서 인수분해의 의미는?	넓이를 (가로) 곱하기 (세로)의 인수로 나누는 것과 같습니다.
08. 인수분해 공식의 활용	x의 제곱 마이너스 y의 제곱 플러스 4x 플러스 4를 인수분해하면?	(x 플러스 2)의 제곱 마이너스 y의 제곱이므로 합차 공식으로 마무리합니다.
08. 인수분해 공식의 활용	치환 후 인수분해가 끝난 뒤 반드시 할 일은?	치환했던 원래 식을 다시 대입하여 정리해야 합니다.
08. 인수분해 공식의 활용	두 수의 곱이 음수이고 합이 양수이면 두 인수의 부호는?	절댓값이 큰 쪽이 플러스이고 다른 쪽이 마이너스입니다.
08. 인수분해 공식의 활용	복잡한 식일수록 무엇을 먼저 찾는 습관이 중요한가?	공통인수가 있는지부터 확인해야 합니다.
09. 이차방정식의 뜻과 해	이차방정식의 정의는 무엇인가?	모든 항을 좌변으로 옮겼을 때 (이차식)은 0 꼴이 되는 방정식입니다.
09. 이차방정식의 뜻과 해	이차방정식의 일반형은?	ax의 제곱 플러스 bx 플러스 c는 0 (단, a는 0이 아님)입니다.
09. 이차방정식의 뜻과 해	이차방정식에서 최고차항의 계수 a가 0이면 어떻게 되는가?	일차방정식이 되므로 이차방정식이 아닙니다.
09. 이차방정식의 뜻과 해	방정식의 해(근)란 무엇인가?	방정식을 참이 되게 하는 미지수 x의 값입니다.
09. 이차방정식의 뜻과 해	방정식을 푼다는 것은 무엇을 의미하는가?	방정식의 모든 해를 구하는 것입니다.
09. 이차방정식의 뜻과 해	이차방정식의 해는 최대 몇 개인가?	보통 2개입니다.
09. 이차방정식의 뜻과 해	x는 1이 x의 제곱 플러스 ax 마이너스 3은 0의 해라면?	x에 1을 대입하여 a의 값을 구할 수 있습니다.
09. 이차방정식의 뜻과 해	x제곱은 4를 만족하는 x값은?	플러스 2와 마이너스 2입니다.
09. 이차방정식의 뜻과 해	괄호가 있는 식을 이차방정식인지 확인하려면?	모두 전개하여 최고차항이 2차인지 확인해야 합니다.
09. 이차방정식의 뜻과 해	이차방정식의 해가 하나로 중복되는 경우를 무엇이라 하는가?	중근이라고 합니다.
09. 이차방정식의 뜻과 해	중근을 가질 조건은 무엇인가?	좌변이 완전제곱식으로 인수분해되어야 합니다.
09. 이차방정식의 뜻과 해	x(x 마이너스 1)은 0의 해는?	x는 0 또는 x는 1입니다.
09. 이차방정식의 뜻과 해	이차방정식의 한 근이 주어질 때 식의 값 구하는 법은?	근을 대입하여 얻은 식을 변형하여 활용합니다.
09. 이차방정식의 뜻과 해	분수나 소수가 포함된 이차방정식은 어떻게 정리하나?	양변에 적당한 수를 곱해 계수를 정수로 고칩니다.
09. 이차방정식의 뜻과 해	(x 마이너스 a)(x 마이너스 b)는 0의 해는?	x는 a 또는 x는 b입니다.
09. 이차방정식의 뜻과 해	이차방정식에서 우변은 항상 무엇으로 만드는가?	0으로 만듭니다.
09. 이차방정식의 뜻과 해	중근은 해가 1개라고 말해도 되는가?	네, 서로 같은 두 근이므로 개수로는 1개입니다.
09. 이차방정식의 뜻과 해	x제곱 플러스 1은 0은 실수 해를 갖는가?	아니요, 제곱하여 음수가 되는 실수는 없으므로 해가 없습니다.
09. 이차방정식의 뜻과 해	이차방정식 판별법에서 x제곱 항이 사라지면?	그것은 이차방정식이 아닙니다.
09. 이차방정식의 뜻과 해	해를 구할 때 인수분해가 안 되면 어떻게 하는가?	제곱근을 이용하거나 근의 공식을 사용합니다.
10. 이차방정식의 풀이 (1)	인수분해를 이용한 풀이의 기본 원리는?	AB는 0이면 A는 0 또는 B는 0임을 이용합니다.
10. 이차방정식의 풀이 (1)	x의 제곱 마이너스 5x 플러스 6은 0의 해는?	(x 마이너스 2)(x 마이너스 3)은 0이므로 x는 2 또는 3입니다.
10. 이차방정식의 풀이 (1)	제곱근을 이용한 풀이란 무엇인가?	x제곱은 k 꼴로 고쳐서 x는 플러스 마이너스 루트 k로 구하는 것입니다.
10. 이차방정식의 풀이 (1)	(x 플러스 3)의 제곱은 5의 해는?	x 플러스 3은 플러스 마이너스 루트 5이므로, x는 마이너스 3 플러스 마이너스 루트 5입니다.
10. 이차방정식의 풀이 (1)	완전제곱식을 이용한 풀이 단계는?	상수항 이항, 이차항 계수로 나누기, 일차항 계수 반의 제곱 더하기 순서입니다.
10. 이차방정식의 풀이 (1)	이차방정식 x제곱 플러스 4x 플러스 k는 0이 중근을 가질 k값은?	4의 반의 제곱인 4입니다.
10. 이차방정식의 풀이 (1)	2x의 제곱은 10의 해는?	x제곱은 5이므로 x는 플러스 마이너스 루트 5입니다.
10. 이차방정식의 풀이 (1)	완전제곱식으로 고치는 이유가 무엇인가?	인수분해가 안 되는 방정식의 해를 제곱근 성질로 구하기 위해서입니다.
10. 이차방정식의 풀이 (1)	인수분해로 풀 때 공통인수가 있으면?	먼저 공통인수로 묶은 뒤 이차식을 인수분해합니다.
10. 이차방정식의 풀이 (1)	x제곱 마이너스 10은 0의 해는?	x는 플러스 마이너스 루트 10입니다.
10. 이차방정식의 풀이 (1)	x제곱 플러스 6x를 완전제곱식으로 만들 때 필요한 상수는?	9입니다.
10. 이차방정식의 풀이 (1)	이차방정식의 풀이에서 가장 빠른 방법은?	인수분해가 되면 인수분해가 가장 빠릅니다.
10. 이차방정식의 풀이 (1)	중근을 갖는 식의 예 하나는?	x제곱 마이너스 2x 플러스 1은 0입니다.
10. 이차방정식의 풀이 (1)	3(x 마이너스 1)의 제곱은 12의 풀이는?	양변을 3으로 나누어 x 마이너스 1의 제곱은 4로 만든 뒤 풉니다.
10. 이차방정식의 풀이 (1)	이차방정식의 계수가 분수이면?	분모의 최소공배수를 곱하여 정수로 만듭니다.
10. 이차방정식의 풀이 (1)	일차항이 없는 이차방정식의 풀이법은?	제곱근의 성질을 바로 이용합니다.
10. 이차방정식의 풀이 (1)	(x 플러스 p)의 제곱은 q에서 q가 음수이면?	실수 해가 존재하지 않습니다.
10. 이차방정식의 풀이 (1)	완전제곱식 풀이에서 이차항 계수를 1로 만드는 이유는?	상수항 k를 찾는 공식을 쉽게 적용하기 위해서입니다.
10. 이차방정식의 풀이 (1)	x제곱 마이너스 4x 마이너스 1은 0을 완전제곱식으로 풀면?	(x 마이너스 2)의 제곱은 5가 되어 해를 구합니다.
