소단원명	질문	정답
06. 다각형	팔각형의 한 꼭짓점에서 대각선을 그어 생기는 삼각형의 개수는?	6개입니다.
06. 다각형	n각형에서 대각선을 그어 만들 수 있는 삼각형의 개수 공식은?	n-2 개입니다.
06. 다각형	외각이란 한 꼭짓점에서 무엇을 연장하여 만드는가?	한 변을 연장하여 이웃한 변과 이루는 각입니다.
07. 원과 부채꼴	원의 정의는 무엇인가?	평면 위의 한 점 O로부터 일정한 거리에 있는 점들의 모임입니다.
07. 원과 부채꼴	호 AB란 무엇인가?	원 위의 두 점 A, B를 경계로 나누어지는 원의 일부분입니다.
07. 원과 부채꼴	현 AB란 무엇인가?	원 위의 두 점 A, B를 이은 선분입니다.
07. 원과 부채꼴	부채꼴이란 무엇인가?	두 반지름과 하나의 호로 둘러싸인 도형입니다.
07. 원과 부채꼴	활꼴이란 무엇인가?	하나의 현과 하나의 호로 둘러싸인 도형입니다.
07. 원과 부채꼴	중심각이란 무엇인가?	부채꼴의 두 반지름이 이루는 각입니다.
07. 원과 부채꼴	한 원에서 부채꼴의 호의 길이는 중심각의 크기에 어떠한가?	정비례합니다.
07. 원과 부채꼴	한 원에서 부채꼴의 넓이는 중심각의 크기에 어떠한가?	정비례합니다.
07. 원과 부채꼴	현의 길이는 중심각의 크기에 정비례하는가?	아니요, 비례하지 않습니다.
07. 원과 부채꼴	원주율 파이의 정의는 무엇인가?	원의 지름에 대한 둘레의 길이의 비율입니다.
07. 원과 부채꼴	반지름이 r인 원의 둘레(원주) 공식은?	2 파이 r 입니다.
07. 원과 부채꼴	반지름이 r인 원의 넓이 공식은?	파이 r의 제곱입니다.
07. 원과 부채꼴	부채꼴의 호의 길이 l을 구하는 공식은?	2 파이 r 곱하기 (360분의 중심각)입니다.
07. 원과 부채꼴	부채꼴의 넓이 S를 구하는 공식은?	파이 r제곱 곱하기 (360분의 중심각)입니다.
07. 원과 부채꼴	호의 길이 l과 반지름 r을 알 때 부채꼴 넓이 S 공식은?	2분의 1 r l 입니다.
07. 원과 부채꼴	원 위에서 가장 긴 현은 무엇인가?	지름입니다.
07. 원과 부채꼴	중심각이 180도인 부채꼴을 무엇이라 하는가?	반원입니다.
07. 원과 부채꼴	현의 수직이등분선은 항상 어디를 지나는가?	원의 중심을 지납니다.
07. 원과 부채꼴	원의 접선과 반지름의 관계는?	접점에서의 반지름과 수직으로 만납니다.
07. 원과 부채꼴	활꼴이 부채꼴이 되는 경우는 언제인가?	중심각이 180도인 반원일 때입니다.
08. 다면체	다면체의 정의는 무엇인가?	다각형인 면으로만 둘러싸인 입체도형입니다.
08. 다면체	다면체에서 면의 개수가 가장 적은 것은?	사면체입니다.
08. 다면체	각기둥의 옆면은 어떤 모양인가?	직사각형입니다.
08. 다면체	각뿔의 옆면은 어떤 모양인가?	삼각형입니다.
08. 다면체	각뿔대의 옆면은 어떤 모양인가?	사다리꼴입니다.
08. 다면체	정다면체의 조건 2가지는?	모든 면이 합동인 정다각형이고 꼭짓점에 모인 면의 개수가 같아야 합니다.
08. 다면체	정다면체의 종류 5가지는?	정4, 6, 8, 12, 20면체입니다.
08. 다면체	모든 면이 정삼각형인 정다면체 3가지는?	정4, 8, 20면체입니다.
08. 다면체	모든 면이 정사각형인 정다면체는?	정육면체입니다.
08. 다면체	모든 면이 정오각형인 정다면체는?	정십이면체입니다.
08. 다면체	정팔면체의 한 꼭짓점에 모인 면의 개수는?	4개입니다.
08. 다면체	정다면체가 5가지뿐인 이유는?	꼭짓점에서 내각의 합이 360도보다 작아야 하기 때문입니다.
08. 다면체	n각기둥의 면의 개수 공식은?	n+2 개입니다.
08. 다면체	n각뿔의 모서리의 개수 공식은?	2n 개입니다.
08. 다면체	n각뿔대의 꼭짓점의 개수 공식은?	2n 개입니다.
08. 다면체	오면체의 예 하나를 들면?	사각뿔 또는 삼각뿔대가 있습니다.
08. 다면체	다면체에서 오일러의 정리는 무엇인가?	V(꼭짓점) - E(모서리) + F(면) = 2 입니다.
08. 다면체	정육면체의 꼭짓점 개수는?	8개입니다.
08. 다면체	정십이면체의 면의 모양은?	정오각형입니다.
08. 다면체	정다면체 중 면의 개수가 가장 많은 것은?	정이십면체입니다.
09. 회전체	회전체의 정의는 무엇인가?	평면도형을 한 직선을 축으로 하여 1회전 시켜 만든 입체도형입니다.
09. 회전체	회전축이란 무엇인가?	회전체를 만들 때 축이 되는 직선입니다.
09. 회전체	대표적인 회전체 4가지는?	원기둥, 원뿔, 원뿔대, 구입니다.
09. 회전체	모선이란 무엇인가?	회전체를 만들 때 옆면을 만드는 선분입니다.
09. 회전체	회전체를 회전축에 수직인 평면으로 자른 단면은?	항상 원입니다.
09. 회전체	회전체를 회전축을 포함하는 평면으로 자른 단면은?	모두 합동인 선대칭도형입니다.
09. 회전체	원기둥을 회전축을 포함하는 평면으로 자른 단면의 모양은?	직사각형입니다.
09. 회전체	원뿔을 회전축을 포함하는 평면으로 자른 단면의 모양은?	이등변삼각형입니다.
09. 회전체	원뿔대를 회전축을 포함하는 평면으로 자른 단면의 모양은?	사다리꼴입니다.
09. 회전체	구를 회전축을 포함하는 평면으로 자른 단면의 모양은?	원입니다.
09. 회전체	구는 어느 방향으로 잘라도 단면이 항상 무엇인가?	원입니다.
09. 회전체	원기둥의 전개도에서 옆면의 모양은?	직사각형입니다.
09. 회전체	원뿔의 전개도에서 옆면의 모양은?	부채꼴입니다.
09. 회전체	원뿔의 전개도 부채꼴의 호의 길이는 무엇과 같은가?	밑면인 원의 둘레와 같습니다.
09. 회전체	회전체 중 전개도를 그릴 수 없는 것은?	구입니다.
09. 회전체	직사각형을 한 변을 축으로 회전시키면?	원기둥이 됩니다.
09. 회전체	직각삼각형을 한 변을 축으로 회전시키면?	원뿔이 됩니다.
09. 회전체	사다리꼴을 회전시키면 무엇이 되는가?	원뿔대가 됩니다.
09. 회전체	반원을 지름을 축으로 회전시키면?	구가 됩니다.
09. 회전체	회전체의 회전축은 몇 개인가?	구는 무수히 많고 나머지는 하나입니다.
10. 기둥의 겉넓이와 부피	기둥의 겉넓이 구하는 기본 공식은?	(밑넓이 곱하기 2) 더하기 (옆넓이)입니다.
10. 기둥의 겉넓이와 부피	각기둥의 옆넓이는 어떻게 구하는가?	(밑면의 둘레의 길이) 곱하기 (높이)입니다.
10. 기둥의 겉넓이와 부피	원기둥의 옆넓이 공식은?	2 파이 r h 입니다.
10. 기둥의 겉넓이와 부피	기둥의 부피 구하는 공식은?	밑넓이 곱하기 높이입니다.
10. 기둥의 겉넓이와 부피	원기둥의 부피 공식은?	파이 r제곱 h 입니다.
10. 기둥의 겉넓이와 부피	밑면이 가로 a, 세로 b인 직육면체의 부피는?	a b h 입니다.
10. 기둥의 겉넓이와 부피	겉넓이란 무엇을 의미하는가?	입체도형의 모든 면의 넓이의 합입니다.
10. 기둥의 겉넓이와 부피	부피란 무엇을 의미하는가?	입체도형이 공간에서 차지하는 크기입니다.
10. 기둥의 겉넓이와 부피	원기둥 전개도에서 옆면 가로의 길이는?	2 파이 r 입니다.
10. 기둥의 겉넓이와 부피	삼각기둥의 부피는 사각기둥 부피와 어떤 관계인가?	밑넓이가 같고 높이가 같다면 절반이 아닙니다(밑넓이에 따라 다름).
10. 기둥의 겉넓이와 부피	정육면체의 한 모서리가 a일 때 겉넓이는?	6 a제곱 입니다.
10. 기둥의 겉넓이와 부피	정육면체의 한 모서리가 a일 때 부피는?	a의 세제곱입니다.
10. 기둥의 겉넓이와 부피	부피의 단위 cm3는 무엇을 의미하는가?	한 변이 1cm인 정육면체의 부피가 기준임을 의미합니다.
10. 기둥의 겉넓이와 부피	옆넓이를 구할 때 밑면의 둘레를 쓰는 이유는?	전개도에서 옆면의 가로가 밑면의 둘레와 같기 때문입니다.
10. 기둥의 겉넓이와 부피	밑면이 사다리꼴인 기둥의 부피는?	사다리꼴 넓이 곱하기 높이입니다.
10. 기둥의 겉넓이와 부피	입체도형의 높이란 무엇인가?	두 밑면 사이의 수직 거리입니다.
10. 기둥의 겉넓이와 부피	원기둥의 겉넓이 전체 공식은?	2 파이 r제곱 + 2 파이 r h 입니다.
10. 기둥의 겉넓이와 부피	기둥 모양 그릇에 물을 가득 채우면 그 물의 부피는?	그릇의 부피와 같습니다.
10. 기둥의 겉넓이와 부피	밑면이 n각형인 각기둥의 옆면은 몇 개인가?	n개입니다.
10. 기둥의 겉넓이와 부피	두 입체도형의 밑넓이와 높이가 같으면 부피는?	같습니다.
11. 뿔의 겉넓이와 부피	뿔의 겉넓이 구하는 기본 공식은?	(밑넓이) 더하기 (옆넓이)입니다.
11. 뿔의 겉넓이와 부피	정각뿔의 옆넓이는 어떻게 구하는가?	(옆면인 삼각형의 넓이) 곱하기 (옆면의 개수)입니다.
11. 뿔의 겉넓이와 부피	원뿔의 옆넓이 공식은?	파이 r l 입니다 (l은 모선).
11. 뿔의 겉넓이와 부피	뿔의 부피는 기둥 부피의 몇 분의 몇인가?	3분의 1입니다.
11. 뿔의 겉넓이와 부피	원뿔의 부피 공식은?	3분의 1 파이 r제곱 h 입니다.
11. 뿔의 겉넓이와 부피	원뿔대의 겉넓이 구하는 법은?	(두 밑넓이의 합) 더하기 (원뿔대 옆넓이)입니다.
11. 뿔의 겉넓이와 부피	원뿔대의 옆넓이는 어떻게 구하는가?	큰 부채꼴 넓이에서 작은 부채꼴 넓이를 뺍니다.
11. 뿔의 겉넓이와 부피	뿔대의 부피 구하는 공식은?	(큰 뿔의 부피) - (작은 뿔의 부피)입니다.
11. 뿔의 겉넓이와 부피	원뿔 전개도에서 부채꼴의 중심각 크기 공식은?	360 곱하기 (모선 l 분의 반지름 r) 도입니다.
11. 뿔의 겉넓이와 부피	뿔의 높이란 무엇인가?	꼭짓점에서 밑면에 내린 수선의 길이입니다.
11. 뿔의 겉넓이와 부피	사각뿔의 옆면은 항상 합동인가?	밑면이 정사각뿔이고 꼭짓점이 중심 위에 있을 때 합동입니다.
11. 뿔의 겉넓이와 부피	부피가 같은 원기둥과 원뿔의 높이 비는?	반지름이 같다면 1 대 3 입니다.
11. 뿔의 겉넓이와 부피	원뿔대란 무엇인가?	원뿔을 밑면에 평행한 평면으로 잘라 생기는 입체 중 원뿔이 아닌 부분입니다.
11. 뿔의 겉넓이와 부피	모선이 10, 반지름이 6인 원뿔의 옆넓이는?	60 파이 입니다.
11. 뿔의 겉넓이와 부피	삼각뿔의 부피는 밑면과 높이가 같은 삼각기둥 부피의 얼마인가?	3분의 1입니다.
11. 뿔의 겉넓이와 부피	옆면이 모두 정삼각형인 사각뿔의 겉넓이는?	(밑면 정사각형 넓이) + (정삼각형 넓이 * 4)입니다.
11. 뿔의 겉넓이와 부피	원뿔대의 높이는 무엇인가?	두 밑면 사이의 수직 거리입니다.
11. 뿔의 겉넓이와 부피	뿔의 부피 공식에서 3분의 1을 곱하는 이유는?	기둥에 뿔 3개의 물을 채우면 가득 차는 실험적 사실에서 옵니다.
11. 뿔의 겉넓이와 부피	정사면체의 겉넓이는?	한 면의 넓이 곱하기 4입니다.
11. 뿔의 겉넓이와 부피	뿔의 겉넓이 계산 시 가장 많이 실수하는 부분은?	옆면이 삼각형임을 잊거나 높이와 모선을 혼동하는 것입니다.
12. 구의 겉넓이와 부피	반지름이 r인 구의 겉넓이 공식은?	4 파이 r의 제곱입니다.
12. 구의 겉넓이와 부피	구의 겉넓이는 그 구가 꽉 끼는 원기둥 옆넓이와 어떠한가?	같습니다.
12. 구의 겉넓이와 부피	반지름이 r인 구의 부피 공식은?	3분의 4 파이 r의 세제곱입니다.
12. 구의 겉넓이와 부피	구의 부피는 그 구가 꽉 끼는 원기둥 부피의 몇 분의 몇인가?	3분의 2입니다.
12. 구의 겉넓이와 부피	반구의 겉넓이 구하는 방법은?	(구 겉넓이의 절반) + (단면인 원의 넓이)입니다.
12. 구의 겉넓이와 부피	반구의 부피 구하는 방법은?	구의 부피의 2분의 1입니다.
12. 구의 겉넓이와 부피	원뿔, 구, 원기둥의 부피 비는 (반지름과 높이 조건 시)?	1 대 2 대 3 입니다.
12. 구의 겉넓이와 부피	반지름이 3인 구의 겉넓이는?	36 파이 입니다.
12. 구의 겉넓이와 부피	반지름이 3인 구의 부피는?	36 파이 입니다 (수치가 우연히 같음).
12. 구의 겉넓이와 부피	구의 단면 중 넓이가 가장 큰 것은 어디를 지날 때인가?	구의 중심을 지날 때입니다.
12. 구의 겉넓이와 부피	구의 겉넓이 공식에서 4는 무엇을 의미하는가?	구의 중심을 지나는 원의 넓이의 4배임을 의미합니다.
12. 구의 겉넓이와 부피	아르키메데스가 발견한 원기둥 속 구의 관계는?	부피 비가 2대 3임을 발견했습니다.
12. 구의 겉넓이와 부피	구가 공간에서 가지는 특징은?	겉넓이가 일정할 때 부피가 최대인 입체입니다.
12. 구의 겉넓이와 부피	구의 겉넓이 공식은 누가 처음 구했는가?	아르키메데스입니다.
12. 구의 겉넓이와 부피	반지름이 2배가 되면 구의 겉넓이는 몇 배가 되는가?	4배가 됩니다.
12. 구의 겉넓이와 부피	반지름이 2배가 되면 구의 부피는 몇 배가 되는가?	8배가 됩니다.
12. 구의 겉넓이와 부피	지름이 10인 구의 부피를 구할 때 반지름은?	5입니다.
12. 구의 겉넓이와 부피	구의 표면을 귤껍질처럼 펼쳐서 넓이를 추정할 수 있는가?	네, 원의 넓이의 4배임을 확인하는 실험적 방법입니다.
12. 구의 겉넓이와 부피	구에는 꼭짓점이나 모서리가 있는가?	아니요, 없습니다.
12. 구의 겉넓이와 부피	구의 부피 공식 3분의 4에서 3분은 무엇에서 기인하는가?	뿔의 부피 원리(3분의 1)와 원기둥 관계에서 유도됩니다.
13. 자료의 정리	변량이란 무엇인가?	조사하여 얻은 자료를 수량으로 나타낸 값입니다.
13. 자료의 정리	줄기와 잎 그림이란 무엇인가?	변량을 줄기와 잎으로 구분하여 나타낸 그림입니다.
13. 자료의 정리	줄기와 잎 그림의 장점은?	자료의 원래 값을 알 수 있고 분포를 쉽게 파악할 수 있습니다.
13. 자료의 정리	도수분포표에서 계급이란 무엇인가?	변량을 일정한 간격으로 나눈 구간입니다.
13. 자료의 정리	계급의 크기란 무엇인가?	변량을 나눈 구간의 너비입니다.
13. 자료의 정리	도수란 무엇인가?	각 계급에 속하는 자료의 개수입니다.
13. 자료의 정리	계급값은 어떻게 구하는가?	계급의 양 끝값의 한가운데 값입니다 (합을 2로 나눔).
13. 자료의 정리	도수분포표를 만드는 목적은?	많은 자료의 분포 상태를 한눈에 알아보기 위해서입니다.
13. 자료의 정리	계급의 개수는 보통 몇 개가 적당한가?	5개에서 15개 사이가 적당합니다.
13. 자료의 정리	도수의 총합은 무엇과 같은가?	자료의 전체 개수와 같습니다.
13. 자료의 정리	자료의 분포란 무엇인가?	변량이 흩어져 있는 상태를 말합니다.
13. 자료의 정리	변량 중 가장 큰 값과 작은 값의 차이를 무엇이라 하는가?	범위라고 합니다 (중등 상식).
13. 자료의 정리	줄기와 잎 그림에서 잎을 쓸 때 중복된 값은?	모두 나열하여 씁니다.
13. 자료의 정리	줄기와 잎 그림에서 잎은 보통 어떻게 나열하는가?	작은 값부터 크기순으로 씁니다.
13. 자료의 정리	도수분포표에서 계급의 양 끝값은 중복되는가?	보통 '이상'과 '미만'을 써서 중복되지 않게 합니다.
13. 자료의 정리	특정 계급의 도수가 전체의 몇 퍼센트인지 구하는 법은?	(도수 / 총합) * 100 입니다.
13. 자료의 정리	도수분포표에서 자료의 평균을 추정하는 법은?	(계급값 * 도수)의 총합을 전체 도수로 나눕니다.
