소단원명	질문	정답
03. 단항식의 계산	원기둥의 부피 공식은?	밑넓이 파이 r제곱 곱하기 높이 h입니다.
03. 단항식의 계산	계수가 분수인 단항식의 역수는?	분모와 분자를 통째로 바꿉니다.
03. 단항식의 계산	동류항이 아닌 항끼리는 곱할 수 있는가?	네, 곱셈은 가능하지만 덧셈은 불가능합니다.
04. 다항식의 계산	다항식의 덧셈과 뺄셈 기본 원칙은?	괄호를 풀고 동류항끼리 모아서 계산합니다.
04. 다항식의 계산	괄호 앞에 마이너스가 있으면 안의 부호는?	모두 반대로 바뀝니다.
04. 다항식의 계산	괄호의 계산 순서는?	소괄호, 중괄호, 대괄호 순서입니다.
04. 다항식의 계산	이차식이란 무엇인가?	차수가 가장 높은 항이 2차인 다항식입니다.
04. 다항식의 계산	(단항식) 곱하기 (다항식)을 계산할 때 쓰는 법칙은?	분배법칙입니다.
04. 다항식의 계산	전개란 무엇인가?	다항식의 곱을 괄호를 풀어 하나의 다항식으로 나타내는 것입니다.
04. 다항식의 계산	전개식의 정의는?	전개하여 얻은 다항식을 말합니다.
04. 다항식의 계산	(다항식) 나누기 (단항식) 방법 하나는?	각 항을 단항식으로 각각 나누어 합칩니다.
04. 다항식의 계산	다항식의 혼합 계산 순서는?	거듭제곱, 곱셈/나눗셈, 덧셈/뺄셈 순서입니다.
04. 다항식의 계산	식의 대입이란 무엇인가?	문자에 그 문자가 나타내는 다른 식을 넣어 새로운 식을 만드는 것입니다.
04. 다항식의 계산	다항식을 대입할 때 반드시 주의할 점은?	괄호를 꼭 사용해야 합니다.
04. 다항식의 계산	계수가 분수인 다항식의 계산법은?	분모를 통분하여 분자끼리 계산합니다.
04. 다항식의 계산	동류항이란 무엇인가?	문자와 차수가 각각 같은 항입니다.
04. 다항식의 계산	다항식 A에서 B를 뺐더니 C가 나왔다면 A는?	C와 B를 더해서 구합니다.
04. 다항식의 계산	원뿔의 부피 공식은?	3분의 1 곱하기 밑넓이 곱하기 높이입니다.
04. 다항식의 계산	x에 대한 이차식에서 x항의 계수가 0일 수 있는가?	네, 가능합니다. (예: x제곱 + 1)
04. 다항식의 계산	괄호 앞에 상수가 곱해져 있으면?	분배법칙으로 모든 항에 상수를 곱합니다.
04. 다항식의 계산	다항식의 차수는 어떻게 정하나?	가장 차수가 높은 항의 차수를 따릅니다.
04. 다항식의 계산	분수 꼴 다항식 뺄셈 시 가장 흔한 실수는?	분자의 뒤쪽 항 부호를 바꾸지 않는 것입니다.
04. 다항식의 계산	식의 값을 구할 때 대입 전 먼저 할 일은?	주어진 식을 가장 간단히 정리하는 것입니다.
05. 일차부등식	부등식이란 무엇인가?	부등호를 사용하여 대소 관계를 나타낸 식입니다.
05. 일차부등식	부등호의 종류 4가지는?	크다, 작다, 크거나 같다, 작거나 같다입니다.
05. 일차부등식	'크지 않다'의 의미는?	작거나 같다(이하)입니다.
05. 일차부등식	'작지 않다'의 의미는?	크거나 같다(이상)입니다.
05. 일차부등식	부등식의 해란 무엇인가?	부등식을 참이 되게 하는 미지수의 값입니다.
05. 일차부등식	부등식의 양변에 같은 수를 더하면 방향은?	바뀌지 않습니다.
05. 일차부등식	부등식의 양변에 같은 양수를 곱하면 방향은?	바뀌지 않습니다.
05. 일차부등식	부등식의 양변에 같은 음수를 곱하면 방향은?	반대로 바뀝니다.
05. 일차부등식	일차부등식의 정의는?	정리했을 때 (일차식) < 0 등의 꼴이 되는 부등식입니다.
05. 일차부등식	부등식 2x > 4의 해는?	x > 2 입니다.
05. 일차부등식	부등식 -x < 3의 해는?	x > -3 입니다.
05. 일차부등식	x < a 를 수직선에 나타낼 때 점 a의 모양은?	안이 비어 있는 원입니다.
05. 일차부등식	x가 a 이상임을 수직선에 나타낼 때 점 a의 모양은?	안이 채워진 원입니다.
05. 일차부등식	괄호가 있는 부등식은 어떻게 푸나?	분배법칙으로 괄호를 먼저 풉니다.
05. 일차부등식	계수가 소수인 부등식은 어떻게 푸나?	양변에 10의 거듭제곱을 곱해 정수로 고칩니다.
05. 일차부등식	계수가 분수인 부등식은 어떻게 푸나?	양변에 분모의 최소공배수를 곱해 정수로 고칩니다.
05. 일차부등식	부등식의 성질 중 0을 나누는 경우는?	생각하지 않습니다.
05. 일차부등식	이항할 때 부등호의 방향이 바뀌는가?	아니요, 바뀌지 않습니다.
05. 일차부등식	부등식의 해가 없는 경우의 예는?	0 > 5 처럼 모순되는 결과가 나올 때입니다.
05. 일차부등식	일차부등식인지 판별할 때 주의점은?	이차항이 사라지는지 확인해야 합니다.
06. 일차부등식의 활용	활용 문제 풀이의 첫 단계는?	구하려는 값을 미지수 x로 정하는 것입니다.
06. 일차부등식의 활용	문제에서 '미만'이라는 단어가 나오면 어떤 부등호를 쓰나?	작다(<) 기호를 씁니다.
06. 일차부등식의 활용	개수나 횟수를 구할 때 결과가 x < 5.5 이면 최대값은?	5입니다.
06. 일차부등식의 활용	평균이 90점 이상이 되기 위한 식은?	(총점 합 / 과목 수) >= 90 입니다.
06. 일차부등식의 활용	유리한 선택 문제에서 'A가 유리하다'는 식은?	A의 비용 < B의 비용 입니다.
06. 일차부등식의 활용	단체 입장권 구매가 유리하려면?	(개별 요금 합) > (단체 요금 합) 이어야 합니다.
06. 일차부등식의 활용	거리 구하는 공식은?	속력 곱하기 시간입니다.
06. 일차부등식의 활용	시간 구하는 공식은?	거리 나누기 속력입니다.
06. 일차부등식의 활용	거속시 문제에서 단위가 다를 때 할 일은?	단위를 하나로 통일합니다.
06. 일차부등식의 활용	산책로 왕복 시간이 2시간 이내라면 식은?	(갈 때 시간) + (올 때 시간) <= 2 입니다.
06. 일차부등식의 활용	소금의 양 구하는 공식은?	100분의 농도 곱하기 소금물의 양입니다.
06. 일차부등식의 활용	소금물에 물을 더 넣었을 때 변하지 않는 것은?	소금의 양입니다.
06. 일차부등식의 활용	농도가 10% 이하가 되게 하려면 식은?	(소금 양 / 소금물 양) * 100 <= 10 입니다.
06. 일차부등식의 활용	물을 증발시킬 때 나중 소금물의 양은?	(처음 양) - (증발시킨 양 x) 입니다.
06. 일차부등식의 활용	원가에 20% 이익을 붙인 정가는?	원가 * 1.2 입니다.
06. 일차부등식의 활용	정가에서 10% 할인한 판매가는?	정가 * 0.9 입니다.
06. 일차부등식의 활용	이익을 계산하는 방법은?	판매 가격 - 원가 입니다.
06. 일차부등식의 활용	삼각형의 세 변의 길이 조건은?	가장 긴 변 < 나머지 두 변의 합 입니다.
06. 일차부등식의 활용	예금액 문제에서 x개월 후 총액 식은?	(현재 금액) + (매달 저축액 * x) 입니다.
06. 일차부등식의 활용	활용 문제 검산 시 확인해야 할 점은?	구한 해가 문제의 조건(자연수 등)에 맞는지 봅니다.
07. 연립일차방정식	미지수가 2개인 일차방정식의 일반 형태는?	ax + by + c = 0 (a, b는 0이 아님) 입니다.
07. 연립일차방정식	미지수가 2개인 일차방정식의 해는 보통 몇 개인가?	무수히 많습니다.
07. 연립일차방정식	연립방정식이란 무엇인가?	두 개 이상의 방정식을 한 쌍으로 묶어 나타낸 것입니다.
07. 연립일차방정식	연립방정식의 해란?	두 방정식을 동시에 참이 되게 하는 공통된 해입니다.
07. 연립일차방정식	가감법이란 무엇인가?	두 식을 더하거나 빼서 한 미지수를 없애는 방법입니다.
07. 연립일차방정식	대입법이란 무엇인가?	한 식을 다른 식에 대입하여 미지수를 없애는 방법입니다.
07. 연립일차방정식	소거의 정의는?	미지수를 하나 없애는 과정을 말합니다.
07. 연립일차방정식	가감법에서 계수의 부호가 같으면 두 식을 어떻게 하나?	변끼리 뺍니다.
07. 연립일차방정식	가감법에서 계수의 부호가 다르면 두 식을 어떻게 하나?	변끼리 더합니다.
07. 연립일차방정식	괄호가 있는 연립방정식은 어떻게 푸나?	괄호를 먼저 풀고 동류항을 정리합니다.
07. 연립일차방정식	계수가 소수나 분수인 연립방정식 풀이법은?	계수를 정수로 고친 뒤 가감법이나 대입법을 씁니다.
07. 연립일차방정식	A = B = C 꼴의 방정식은 어떻게 나누나?	A=B, B=C 처럼 두 개씩 짝지어 연립합니다.
07. 연립일차방정식	해가 무수히 많은 연립방정식의 특징은?	두 식의 계수 비와 상수항 비가 모두 같을 때입니다.
07. 연립일차방정식	해가 없는 연립방정식의 특징은?	계수 비는 같지만 상수항 비가 다를 때입니다.
07. 연립일차방정식	연립방정식 풀이에서 가장 먼저 할 결정은?	어떤 미지수를 먼저 없앨지 정하는 것입니다.
07. 연립일차방정식	계수를 맞출 때 곱하는 수는?	두 계수의 최소공배수가 되도록 곱합니다.
07. 연립일차방정식	대입법을 쓰기 가장 좋은 식의 형태는?	x = (y의 식) 꼴로 정리된 경우입니다.
07. 연립일차방정식	두 연립방정식의 해가 같을 때 풀이법은?	정확한 식 두 개를 골라 새로운 연립방정식을 만듭니다.
07. 연립일차방정식	계수 a를 잘못 보고 풀었다는 문제의 해결법은?	제대로 본 다른 미지수의 값은 활용할 수 있습니다.
07. 연립일차방정식	방정식을 푼 후 검산하는 법은?	구한 해를 두 식에 각각 대입해 봅니다.
08. 연립일차방정식의 활용	활용 문제에서 미지수는 주로 무엇으로 잡나?	구하려는 두 양을 x와 y로 잡습니다.
08. 연립일차방정식의 활용	두 수의 합이 20, 차가 4인 식은?	x + y = 20, x - y = 4 입니다.
08. 연립일차방정식의 활용	두 자리 자연수에서 십의 자리 x, 일의 자리 y인 수는?	10x + y 입니다.
08. 연립일차방정식의 활용	자릿수를 바꾼 수의 표현은?	10y + x 입니다.
08. 연립일차방정식의 활용	나이 문제에서 5년 후의 나이 식은?	현재 나이에 5를 더합니다.
08. 연립일차방정식의 활용	직사각형 둘레가 30cm일 때 식은?	2(x + y) = 30 입니다.
08. 연립일차방정식의 활용	전체 일의 양에 대한 문제에서 전체 일은 얼마로 두나?	1로 둡니다.
08. 연립일차방정식의 활용	혼자서 10일 걸리는 일의 하루 일의 양은?	10분의 1입니다.
08. 연립일차방정식의 활용	거속시 문제에서 왕복 3시간이 걸렸다면 식은?	(가는 시간) + (오는 시간) = 3 입니다.
08. 연립일차방정식의 활용	마주 보고 출발해 만나는 경우의 특징은?	두 사람이 걸은 시간은 같고 거리 합은 전체 거리입니다.
08. 연립일차방정식의 활용	트랙을 같은 방향으로 돌아 만나는 식은?	(빠른 거리) - (느린 거리) = (한 바퀴) 입니다.
08. 연립일차방정식의 활용	강물을 거슬러 올라가는 배의 속력은?	(정지 속력) - (강물 속력) 입니다.
08. 연립일차방정식의 활용	농도 문제에서 두 소금물을 섞을 때 식 하나는?	소금물 양의 합 식입니다.
08. 연립일차방정식의 활용	농도 문제에서 두 소금물을 섞을 때 다른 식 하나는?	소금 양의 합 식입니다.
08. 연립일차방정식의 활용	작년보다 10% 증가한 학생 수 표현은?	x * 1.1 입니다.
08. 연립일차방정식의 활용	작년보다 5% 감소한 학생 수 표현은?	x * 0.95 입니다.
08. 연립일차방정식의 활용	가격과 개수 문제에서 총액 식은?	(단가 * 개수)의 합 = 총액 입니다.
08. 연립일차방정식의 활용	기차가 터널을 지나는 실제 이동 거리는?	(기차 길이) + (터널 길이) 입니다.
08. 연립일차방정식의 활용	가위바위보 계단 오르기에서 이긴 횟수 x, 진 횟수 y면?	상대방은 y번 이기고 x번 진 것입니다.
08. 연립일차방정식의 활용	활용 문제의 마지막 확인 단계에서 할 일은?	구한 값이 양수인지, 정수인지 등 실제 상황에 맞는지 봅니다.
09. 일차함수와 그 그래프(1)	함수의 정의는 무엇인가?	x값이 변함에 따라 y값이 오직 하나씩 정해지는 관계입니다.
09. 일차함수와 그 그래프(1)	함수 f(x)에서 함숫값 f(a)란?	x 대신 a를 대입하여 얻은 y의 값입니다.
09. 일차함수와 그 그래프(1)	일차함수의 정의는 무엇인가?	y = ax + b (a는 0이 아님) 꼴의 함수입니다.
09. 일차함수와 그 그래프(1)	평행이동이란 무엇인가?	도형을 일정한 방향으로 일정 거리만큼 옮기는 것입니다.
09. 일차함수와 그 그래프(1)	y = ax + b 의 그래프는 y = ax를 어느 방향으로 옮긴 것인가?	y축 방향으로 b만큼 평행이동한 것입니다.
09. 일차함수와 그 그래프(1)	x절편이란 무엇인가?	그래프가 x축과 만나는 점의 x좌표입니다.
09. 일차함수와 그 그래프(1)	y절편이란 무엇인가?	그래프가 y축과 만나는 점의 y좌표입니다.
09. 일차함수와 그 그래프(1)	x절편을 구하는 방법은?	y에 0을 대입하여 x값을 구합니다.
09. 일차함수와 그 그래프(1)	y절편을 구하는 방법은?	x에 0을 대입하여 y값을 구합니다.
09. 일차함수와 그 그래프(1)	기울기의 정의는 무엇인가?	x의 증가량에 대한 y의 증가량의 비율입니다.
09. 일차함수와 그 그래프(1)	일차함수 y = ax + b 에서 기울기를 나타내는 상수는?	a 입니다.
09. 일차함수와 그 그래프(1)	기울기가 양수이면 그래프의 모양은?	오른쪽 위로 향하는 직선입니다.
09. 일차함수와 그 그래프(1)	기울기가 음수이면 그래프의 모양은?	오른쪽 아래로 향하는 직선입니다.
09. 일차함수와 그 그래프(1)	기울기의 절댓값이 클수록 그래프는 어디에 가깝나?	y축에 가깝습니다.
09. 일차함수와 그 그래프(1)	y = 2x + 1 에서 y절편은 얼마인가?	1 입니다.
09. 일차함수와 그 그래프(1)	x값이 3 증가할 때 y값이 6 증가한다면 기울기는?	2 입니다.
09. 일차함수와 그 그래프(1)	함수의 그래프란 무엇인가?	순서쌍 (x, y)를 좌표로 하는 점들의 집합입니다.
09. 일차함수와 그 그래프(1)	일차함수 그래프는 어떤 모양인가?	직선 모양입니다.
09. 일차함수와 그 그래프(1)	y = -3x 에서 평행이동하지 않은 y절편은?	0 입니다.
09. 일차함수와 그 그래프(1)	x절편이 2이면 지나는 점의 좌표는?	(2, 0) 입니다.
10. 일차함수와 그 그래프(2)	두 일차함수 그래프가 평행하기 위한 조건은?	기울기는 같고 y절편은 달라야 합니다.
10. 일차함수와 그 그래프(2)	두 일차함수 그래프가 일치하기 위한 조건은?	기울기와 y절편이 모두 같아야 합니다.
10. 일차함수와 그 그래프(2)	기울기 a와 y절편 b를 알 때 일차함수 식은?	y = ax + b 입니다.
10. 일차함수와 그 그래프(2)	기울기 m과 한 점 (x1, y1)을 알 때 식 구하는 법은?	y = mx + b 에 점을 대입하여 b를 구합니다.
10. 일차함수와 그 그래프(2)	서로 다른 두 점을 알 때 가장 먼저 구할 것은?	기울기입니다.
10. 일차함수와 그 그래프(2)	x절편과 y절편을 알 때 기울기 구하는 공식은?	- (y절편 / x절편) 입니다.
10. 일차함수와 그 그래프(2)	y = 3x - 5 와 평행한 직선의 기울기는?	3 입니다.
10. 일차함수와 그 그래프(2)	일차함수 활용에서 초기 상태의 값은 주로 무엇이 되나?	y절편(b)이 됩니다.
10. 일차함수와 그 그래프(2)	일차함수 활용에서 변화율은 주로 무엇이 되나?	기울기(a)가 됩니다.
10. 일차함수와 그 그래프(2)	기울기가 2이고 (0, 3)을 지나는 직선의 식은?	y = 2x + 3 입니다.
10. 일차함수와 그 그래프(2)	두 점 (1, 2)와 (2, 4)를 지나는 직선의 기울기는?	2 입니다.
10. 일차함수와 그 그래프(2)	기울기가 음수일 때 x값이 증가하면 y값은?	감소합니다.
10. 일차함수와 그 그래프(2)	y절편이 음수이면 그래프는 y축과 어디서 만나나?	x축보다 아래쪽에서 만납니다.
10. 일차함수와 그 그래프(2)	y = 2x 를 y축으로 -3만큼 이동한 식은?	y = 2x - 3 입니다.
10. 일차함수와 그 그래프(2)	세 점이 한 직선 위에 있을 조건은?	기울기가 서로 같아야 합니다.
10. 일차함수와 그 그래프(2)	기울기가 0인 직선은 일차함수인가?	아니요, 상수함수이며 x항이 사라집니다.
10. 일차함수와 그 그래프(2)	(1, 5)와 (3, 5)를 지나는 직선의 기울기는?	0 입니다.
10. 일차함수와 그 그래프(2)	y = ax + b 가 제1, 2, 3사분면을 지날 때 a, b의 부호는?	a는 양수, b는 양수입니다.
10. 일차함수와 그 그래프(2)	y = ax + b 가 제2, 3, 4사분면을 지날 때 a, b의 부호는?	a는 음수, b는 음수입니다.
10. 일차함수와 그 그래프(2)	일차함수 식을 구한 후 확인하는 방법은?	주어진 점들을 식에 대입해 성립하는지 봅니다.
11. 일차함수와 일차방정식의 관계	미지수가 2개인 일차방정식의 그래프 모양은?	직선 모양입니다.
11. 일차함수와 일차방정식의 관계	방정식 ax + by + c = 0 을 함수 꼴로 고치면?	y = -a/b x - c/b 꼴이 됩니다.
11. 일차함수와 일차방정식의 관계	x = p 의 그래프는 어떤 모양인가?	점 (p, 0)을 지나고 y축에 평행한 직선입니다.
11. 일차함수와 일차방정식의 관계	y = q 의 그래프는 어떤 모양인가?	점 (0, q)를 지나고 x축에 평행한 직선입니다.
11. 일차함수와 일차방정식의 관계	두 직선의 교점의 좌표는 무엇과 같은가?	두 식을 연립한 연립방정식의 해와 같습니다.
11. 일차함수와 일차방정식의 관계	연립방정식의 해가 없으면 두 직선의 관계는?	평행합니다.
11. 일차함수와 일차방정식의 관계	연립방정식의 해가 무수히 많으면 두 직선의 관계는?	일치합니다.
11. 일차함수와 일차방정식의 관계	기울기가 다른 두 직선의 교점은 몇 개인가?	오직 1개입니다.
11. 일차함수와 일차방정식의 관계	x축의 방정식은 무엇인가?	y = 0 입니다.
11. 일차함수와 일차방정식의 관계	y축의 방정식은 무엇인가?	x = 0 입니다.
11. 일차함수와 일차방정식의 관계	점 (2, 3)을 지나고 x축에 평행한 직선은?	y = 3 입니다.
11. 일차함수와 일차방정식의 관계	점 (2, 3)을 지나고 y축에 평행한 직선은?	x = 2 입니다.
11. 일차함수와 일차방정식의 관계	방정식 2x - y = 4 의 기울기는?	2 입니다.
11. 일차함수와 일차방정식의 관계	방정식 x + y = 2 의 y절편은?	2 입니다.
11. 일차함수와 일차방정식의 관계	세 직선이 한 점에서 만날 조건은?	두 직선의 교점을 나머지 한 직선이 지나야 합니다.
11. 일차함수와 일차방정식의 관계	y = 5 의 기울기는 얼마인가?	0 입니다.
11. 일차함수와 일차방정식의 관계	x = -1 의 기울기는?	정의되지 않습니다 (수직선).
11. 일차함수와 일차방정식의 관계	두 그래프의 교점을 지나는 제3의 직선 구하는 법은?	교점의 좌표를 구해 다른 식에 대입합니다.
11. 일차함수와 일차방정식의 관계	좌표평면 위의 모든 직선은 일차함수인가?	아니요, x=p 꼴의 수직선은 함수가 아닙니다.
11. 일차함수와 일차방정식의 관계	일차방정식의 해를 시각적으로 나타낸 것이 무엇인가?	그래프(직선)입니다.
